B_Badkamer_Togglebit4;BOOL;HR0.15;;0
B_Badkamer_Togglebit3;BOOL;HR0.14;;0
B_Slaapkamer_kind_Togglebit2;BOOL;HR0.13;;0
B_Slaapkamer_kind_Togglebit1;BOOL;HR0.12;;0
A_Werkruimte_Togglebit2;BOOL;HR0.11;;0
A_Werkruimte_Togglebit1;BOOL;HR0.10;;0
A_WC_Togglebit2;BOOL;HR0.09;;0
A_WC_Togglebit1;BOOL;HR0.08;;0
B_Nachthal_Knop_NO_15_1_Togglebit2;BOOL;HR0.07;;0
B_Nachthal_Knop_NO_15_1_Togglebit1;BOOL;HR0.06;;0
B_Slaapkamer_Togglebit2;BOOL;HR0.05;;0
B_Slaapkamer_Togglebit1;BOOL;HR0.04;;0
A_Eetkamer_Togglebit2;BOOL;HR0.03;;0
A_Eetkamer_Togglebit1;BOOL;HR0.02;;0
B_Nachthal_Togglebit2;BOOL;HR0.01;;0
B_Nachthal_Togglebit1;BOOL;HR0.00;;0
Uur_Zon_Onder;CHANNEL;DM104;;0
Month;CHANNEL;DM103;;0
Minute;CHANNEL;DM102;;0
Weekday;CHANNEL;DM101;;0
Hour;CHANNEL;DM100;;0
B_Slaapkamer_Wand1;BOOL;191.15;LICHT49 - R49;0
A_Keuken1;BOOL;191.14;LICHT05 - R74;0
A_Keuken2;BOOL;191.13;LICHT06 - R75;0
A_Terras_Scheidingsmuur_Rechts;BOOL;191.12;LICHT01 - R76;0
A_Terras_Scheidingsmuur_Links;BOOL;191.11;LICHT02 - R77;0
B_Terras;BOOL;191.10;LICHT46 - R78;0
A_Trapberging;BOOL;191.09;LICHT10 - R79;0
A_Eetkamer2;BOOL;191.07;LICHT08 - R65;0
A_Eetkamer1;BOOL;191.06;LICHT07 - R66;0
A_WC;BOOL;191.05;LICHT19 - R67;0
B_Dressing_Lavabo;BOOL;191.04;LICHT51 - R68;0
A_Terras_Gevel_Voordeur;BOOL;191.03;LICHT03 - R69;0
A_Terras_Gevel_Oprit;BOOL;191.02;LICHT04 - R70;0
A_Living_Wand;BOOL;191.01;LICHT11 - R71;0
B_Slaapkamer_Wand2;BOOL;191.00;LICHT50 - R50;0
B_Vide_Wand;BOOL;190.15;LICHT45 - R41;0
B_Nachthal5;BOOL;190.12;LICHT43 - R44;0
B_Nachthal4;BOOL;190.11;LICHT42 - R45;0
B_Nachthal3;BOOL;190.10;LICHT41 - R46;0
B_Slaapkamer_Rolluik_Achtergevel_Beneden;BOOL;190.09;ROL08 - R18;0
B_Slaapkamer_Rolluik_Achtergevel_Start;BOOL;190.08;ROL08 - R17;0
C_Zolder_Groot1;BOOL;190.07;LICHT57 - R33;0
D_Zolder;BOOL;190.06;LICHT61 - R34;0
C_Zolder_Klein2;BOOL;190.05;LICHT55 - R55;0
C_Zolder_Klein1;BOOL;190.04;LICHT54 - R54;0
C_Zolder_Klein3;BOOL;190.03;LICHT56 - R37;0
B_WC_Ventilator;BOOL;190.02;;0
